Price,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Ticker,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,11102.87159529976,7251.631845079787,7297.130859375,8511.84765625,7997.04158759882,8568.800497488408,13290.711707396684,12485.009188138521,9043.785640349965,6829.107421875,9048.56931411975,7352.529296875,-316707.3068611561,7025.297938193044,4653.225569948441,5543.072462342626,13426.615234375,11087.806640625,7263.99609375,7297.130859375,8511.84765625,7917.21630859375,8615.40625,13206.7451171875,12545.3232421875,9061.0283203125,6829.107421875,9040.490234375,7352.529296875,-316878.5,7001.1005859375,4583.94677734375,5529.8115234375,13426.615234375
2010-01-05,11117.935594771798,7350.546961948681,7400.096646012931,8613.36440928661,8026.06939191879,8628.721523162627,13368.679996228091,12748.8828125,9164.483877126697,6884.24637341224,9113.2001953125,7448.399632695895,-323555.02818302385,7041.428357855406,4624.359738457472,5635.899893777412,13508.53570615898,11057.67578125,7498.91796875,7406.32568359375,8558.701171875,7975.271484375,8515.5361328125,13602.5869140625,12748.8828125,9216.2119140625,6900.18212890625,9113.2001953125,7411.5263671875,-322699.0625,7049.494140625,4607.0400390625,5669.05224609375,13500.34375
2010-01-06,11065.208708764416,7517.463883196721,7449.928388696473,8558.703309659091,7982.528256853565,8495.56148693049,13482.634648506393,12703.647466715976,9138.619871436145,6932.053367249786,9088.96404646817,7477.898908086435,-324924.6083289749,7097.889478696388,4635.906624506978,5635.899488231804,13590.453503454191,11102.87109375,7542.1923828125,7418.783203125,8589.939453125,8040.5830078125,8548.8251953125,13602.5869140625,12741.34375,9147.2412109375,6995.79638671875,9153.5966796875,7529.521484375,-327321.3125,7146.2841796875,4757.14453125,5761.87841796875,13803.4443359375
2010-01-07,11057.67578125,7554.557607574087,7449.926694229967,8574.318701840753,8011.554205859021,8535.510307647897,13734.534182684403,12771.504114598853,9147.241711715047,6987.828509285129,9169.753025714717,7492.648338607595,-328006.0620734908,7130.152966101695,4820.649256927891,5834.813275084555,13918.134839011651,11057.67578125,7536.01123046875,7462.384765625,8550.8916015625,8004.29736328125,8468.9306640625,13680.5556640625,12650.8759765625,9095.513671875,6995.79638671875,9202.0693359375,7573.76953125,-326122.9375,7138.21875,4843.7421875,5881.2265625,13844.4072265625
2010-01-08,11117.936298688901,7536.010680035228,7549.593362282879,8668.028129591432,7953.499971590909,8622.064406657713,13734.5355036063,12816.73673512078,9095.51363904937,7035.636335100447,9185.912293599891,7573.76853123499,-329204.3669203368,7202.744392498586,4878.3818359375,5901.118158606843,13844.405635340074,11095.3388671875,7430.91455078125,7530.90625,8636.7919921875,7982.52734375,8675.328125,13590.5927734375,12952.443359375,9233.455078125,7027.66845703125,9250.544921875,7677.013671875,-330402.71875,7130.15234375,4878.3818359375,5934.2705078125,13926.3251953125
2010-01-12,11148.06588050976,7449.461483273073,7505.988352608016,8597.747197423418,7982.527343749999,8775.196685242796,13794.511794063303,12816.734822591146,9242.074945074006,7068.06396484375,9250.544016768292,7728.63623046875,-331087.4711807321,7138.218126944287,4820.649909838031,5967.423134733324,14000.052364285457,11193.2607421875,7560.73974609375,7586.9658203125,8699.2646484375,7982.52734375,8895.0400390625,13998.4306640625,13027.833984375,9319.6669921875,7068.06396484375,9274.78125,7728.63623046875,-336736.84375,7130.15234375,4889.9287109375,6013.83642578125,14180.275390625
2010-01-13,11223.389898316824,7430.91455078125,7549.59375,8730.5009765625,7931.728937503542,8988.250847582547,13890.472782643748,13073.070110413655,9276.56201626513,7003.765131797662,9274.782272418479,7669.63979036333,-332114.7469464657,7218.87646484375,4889.928255208333,6046.988690144766,14139.316051240809,11215.857421875,7430.91455078125,7549.59375,8730.5009765625,8004.29736328125,8821.8017578125,13716.5419921875,13042.9130859375,9259.3193359375,7115.3154296875,9290.9404296875,7662.26513671875,-329375.65625,7218.87646484375,4849.515625,5954.162109375,13926.3251953125
2010-01-14,10989.88324261296,7517.46431902985,7524.67578125,8496.229960141718,7938.988175293852,8901.698221068698,13710.54296875,12741.343611616145,9000.680019566957,7131.25,9307.09874675886,7713.886794663208,-329375.62074657186,7173.14306640625,4936.114665758095,6007.205369588037,13598.64630029268,11065.2080078125,7455.64306640625,7524.67578125,8816.400390625,8026.0703125,8928.330078125,13710.54296875,13088.1494140625,9431.7470703125,7131.25,9347.494140625,7684.38818359375,-337079.3125,7173.14306640625,4947.6611328125,6020.46630859375,13819.8291015625
