Date,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2010-01-04,-0.0013568521031208712,0.0017050298380222194,1.2254971638652223e-16,0.0,-0.00998185117967337,0.005439005439005476,-0.006317689530685895,0.004830917874396202,0.0019065776930408845,0.0,-0.000892857142857175,0.0,0.0005405405405405405,-0.003444316877152641,-0.014888337468982627,-0.0023923444976075453,0.0
2010-01-05,-0.005420054200541984,0.020185029436501297,0.0008417508417508232,-0.006346328195829708,-0.006329113924050644,-0.013117283950617273,0.017496635262449618,0.0,0.005644402634054409,0.002314814814814765,0.0,-0.004950495049504908,-0.002645502645502708,0.0011454753722795418,-0.003745318352059885,0.00588235294117652,-0.0006064281382655267
2010-01-06,0.003403675970047632,0.0032894736842105123,-0.004180602006689014,0.003649635036496354,0.007272727272727279,0.006269592476489055,0.008896797153024896,0.0029673590504450498,0.0009433962264151102,0.009195402298850559,0.007111111111111185,0.0069033530571992905,0.007376185458377194,0.0068181818181817355,0.026151930261519345,0.022352941176470565,0.01567209162145861
2010-01-07,0.0,-0.0024549918166939526,0.0016722408026754777,-0.0027322404371584513,-0.0009057971014493223,-0.00780031201248052,-0.0039301310043665695,-0.0094451003541914,-0.00565504241281805,0.0011402508551880911,0.003524229074889914,0.010826771653543331,-0.005741127348643006,0.0011312217194569226,0.004790419161676557,0.007954545454545369,-0.005297233666862883
2010-01-08,-0.00203252032520337,-0.013945857260049228,-0.00247524752475243,-0.003603603603603676,0.003649635036496372,0.006177606177606135,-0.010480349344978108,0.01058823529411763,0.015165876777251253,-0.001132502831257126,0.007036059806508466,0.013631937682570521,0.003640145605824206,-0.010078387458006745,1.8291573031562337e-16,0.005617977528089821,0.005917159763313599
2010-01-12,0.004054054054054051,0.014937759336099561,0.010788381742738495,0.011807447774750188,0.0,0.013657056145675252,0.0147826086956522,0.016470588235294053,0.0083955223880597,0.0,0.0026200873362444738,0.0,0.017063081695966823,-0.0011299435028249592,0.014371257485029912,0.007777777777777714,0.012873025160912845
2010-01-13,-0.0006711409395974785,0.0,0.0,0.0,0.00914913083257082,-0.018518518518518746,-0.012521588946459574,-0.0023068050749711017,-0.0018587360594793925,0.01592718998862341,0.001742160278745572,-0.000961538461538415,-0.008247422680412375,0.0,-0.008264462809917453,-0.015350877192982492,-0.015063731170336235
2010-01-14,0.006854009595613244,-0.00822368421052626,1.1884379070160528e-16,0.03768382352941173,0.01096892138939666,0.0029917726252804843,0.0,0.027218934911242585,0.047892720306513474,0.0,0.004340277777777772,-0.0038240917782026047,0.02338877338877339,0.0,0.0023391812865497827,0.0022075055187636555,0.01626506024096388
2010-01-15,0.03266157053509373,-0.0025125628140703843,0.03735144312393878,0.007999999999999978,0.026951672862453462,0.005200594353640321,-0.004385964912280722,0.005720823798627127,0.022304832713754493,0.03181818181818174,0.01952085181898856,0.0009587727708535098,0.0055248618784530384,0.0,0.02790697674418619,0.005524861878453053,0.04432301153612626
2010-01-19,-0.0006765899864682623,0.005947323704333116,-0.007395234182415706,-0.005347593582887838,0.003642987249544651,-0.005235602094240952,-0.002654867256637132,0.0,0.0,0.0,0.0026086956521738803,-0.0038387715930902166,-0.005580923389142563,0.0,-0.018285714285714356,-0.020202020202020242,-0.01332560834298966
