Price,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Ticker,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,11352.851405931557,7423.714903174867,7421.435546875,8636.1123046875,8192.668623968835,8720.600831210153,13411.391114611717,12594.19947228065,9084.671555363939,6907.8916015625,9185.18738829312,7589.484863281251,12893.993164590087,7128.284982426375,4742.720104150268,5693.236393697542,13625.7333984375,11337.447265625,7436.37255859375,7421.435546875,8636.1123046875,8110.890625,8768.0322265625,13326.662109375,12655.041015625,9101.9921875,6907.8916015625,9176.986328125,7589.48486328125,12900.962890625,7103.73291015625,4672.10888671875,5679.6162109375,13625.7333984375
2010-01-05,11368.253267626022,7524.977253258965,7526.155086995374,8739.109695768704,8222.405777269109,8781.585076231431,13490.068795986277,12860.380859375,9205.917004063378,6963.66361143187,9250.7958984375,7688.444909242848,13172.785161430704,7144.651914688215,4713.298800590343,5788.577473958334,13708.869108033412,11306.63671875,7676.869140625,7532.490234375,8683.6484375,8170.365234375,8666.39453125,13726.099609375,12860.380859375,9257.87890625,6979.783203125,9250.7958984375,7650.38330078125,13137.9365234375,7152.8359375,4695.64599609375,5822.6279296875,13700.5556640625
2010-01-06,11314.34121120251,7695.855097336065,7576.836872244963,8683.649644886364,8177.797569522789,8646.067096840927,13605.058166611552,12814.748454257582,9179.934411080349,7012.023575419988,9226.192302653353,7718.892955933215,13228.542954448876,7201.940295217269,4725.066617799037,5788.5770281933255,13792.00281203635,11352.8515625,7721.17041015625,7545.1611328125,8715.341796875,8237.2724609375,8700.2744140625,13726.099609375,12852.7744140625,9188.5947265625,7076.501953125,9291.80078125,7772.17919921875,13326.119140625,7251.04443359375,4848.63623046875,5917.96875,14008.15234375
2010-01-07,11306.63671875,7733.829260984926,7576.83459085455,8699.495676369863,8207.53690219855,8686.721048607016,13859.2450157209,12883.19675813841,9188.594705272511,7068.442155911874,9308.201624574736,7734.118469297711,13353.99609375,7234.677304025424,4913.363320824643,5992.879659315106,14124.540719189163,11306.63671875,7714.8427734375,7589.5048828125,8675.7265625,8200.1025390625,8618.9619140625,13804.7763671875,12761.513671875,9136.6328125,7076.501953125,9341.005859375,7817.85400390625,13277.3291015625,7242.861328125,4936.900390625,6040.55029296875,14049.7197265625
2010-01-08,11368.254646130346,7714.841543797446,7678.198312461228,8794.571054193038,8148.059431818182,8774.807344379557,13859.247805535635,12928.82820458018,9136.633189082924,7116.801008228813,9324.605386019379,7817.854255786203,13402.785152708064,7308.332969147695,4972.206054687499,6060.980310535963,14049.718112362132,11345.1484375,7607.25146484375,7659.19287109375,8762.87890625,8177.796875,8829.0146484375,13713.998046875,13065.7216796875,9275.1982421875,7108.7412109375,9390.2138671875,7924.4267578125,13451.5732421875,7234.6767578125,4972.2060546875,6095.03076171875,14132.8525390625
2010-01-12,11399.063945785665,7626.2378328936275,7633.852557102448,8723.265150744783,8177.796875,8930.654641888099,13919.765683577014,12928.826113100406,9283.857944033303,7149.6044921875,9390.21420149853,7977.71435546875,13479.45213205389,7242.860781294188,4913.363880216019,6129.082289656836,14207.677452858716,11445.2763671875,7740.15673828125,7716.20947265625,8826.2646484375,8177.796875,9052.62109375,14125.5361328125,13141.771484375,9361.80078125,7149.6044921875,9414.8173828125,7977.71435546875,13709.453125,7234.6767578125,4983.97509765625,6176.7529296875,14390.5732421875
2010-01-13,11476.084882891202,7607.25146484375,7678.1982421875,8857.95703125,8125.758907702007,9147.484780365565,14016.600935655335,13187.405148121386,9318.500320065177,7084.561283944569,9414.817605298913,7916.814958794514,13521.2685465664,7324.701171875,4983.975032552084,6210.802695225501,14349.002048483457,11468.3828125,7607.25146484375,7678.1982421875,8857.95703125,8200.1025390625,8978.0869140625,13841.0908203125,13156.984375,9301.1796875,7197.3984375,9431.2197265625,7909.20263671875,13409.7529296875,7324.701171875,4942.78515625,6115.46142578125,14132.8525390625
2010-01-14,11237.321090293142,7695.856654228855,7652.857910156251,8620.265777236493,8133.1919536901,9059.398293309563,13835.0361328125,12852.775400750648,9041.371804301874,7213.5185546875,9447.622623163354,7962.488348728407,13409.754860493904,7278.2978515625,5031.048847496718,6169.94280548768,13800.318242442205,11314.341796875,7632.568359375,7652.85791015625,8945.1103515625,8222.404296875,9086.501953125,13835.0361328125,13202.6142578125,9474.3876953125,7213.5185546875,9488.6279296875,7932.0390625,13723.392578125,7278.2978515625,5042.8173828125,6183.56298828125,14024.78125
