パターン,dd_t1,年率,Sharpe,MaxDD,Calmar,2025年リターン,発動回数_合計,発動回数_年平均,判定コメント
現行,-0.06,1.0011730001386527,3.488466294837283,-0.19733710203145294,5.073414932277048,0.8600943295348642,481,43.72727272727273,多すぎ・-8%以上に変更推奨
候補,-0.08,1.0388522811396106,3.5432029236003246,-0.20017733009353264,5.189659991239807,0.8353789902249902,313,28.454545454545453,多すぎ・-8%以上に変更推奨
参考1,-0.10,1.0516870114396877,3.5598097878694204,-0.20695626986532492,5.081687122231495,0.8206231074310735,213,19.363636363636363,多すぎ・-8%以上に変更推奨
参考2,-0.12,1.0508946069129679,3.5516478418192032,-0.2082802796043187,5.0455790097334665,0.7754288977809818,159,14.454545454545455,多すぎ・-8%以上に変更推奨
