sig_coef,size_cap,size_min,short_amp,annual_r,sharpe,max_dd,calmar,win_rate,final,method,long_coef,short_coef,target_vol
8.0,5.0,0.3,1.5,1.9755964123287844,4.457334199877816,-0.47238491694818846,4.182175047188201,0.5433575395130287,2508143.407254113,A,,,
8.0,5.0,0.5,1.5,1.9739346881463513,4.450844267566415,-0.47123873617195844,4.188820944944662,0.5433575395130287,2495161.661636517,A,,,
8.0,5.0,0.3,1.4,1.818918445528225,4.367284265658245,-0.4489707745945595,4.051307008058128,0.5433575395130287,1517482.3477939707,A,,,
8.0,5.0,0.5,1.4,1.8173442182809296,4.360466555623277,-0.4477737293894688,4.058621797126966,0.5433575395130287,1509628.103989058,A,,,
7.0,5.0,0.3,1.5,1.7325058967464648,4.2338600810544715,-0.43609556397273,3.9727666132710353,0.5433575395130287,1136355.192876665,A,,,
7.0,5.0,0.5,1.5,1.7295413983575676,4.222997706652233,-0.43497344736112187,3.976199947031881,0.5433575395130287,1124953.9306935808,A,,,
8.0,5.0,0.3,1.3,1.6681538541933807,4.272474875539064,-0.42472473109099174,3.9276117731792746,0.5433575395130287,910675.5270190515,A,,,
8.0,5.0,0.5,1.3,1.6666638215519938,4.265280634566259,-0.423475014251112,3.9356839611880767,0.5433575395130287,905962.0174175937,A,,,
7.0,5.0,0.3,1.4,1.598587445618346,4.158140404101165,-0.4137691438249207,3.8634766982401203,0.5433575395130287,712489.0402120682,A,,,
7.0,5.0,0.5,1.4,1.5957682354914358,4.146789013234227,-0.4126025997441797,3.8675670887212976,0.5433575395130287,705340.5056685035,A,,,
8.0,5.0,0.3,1.25,1.5949648026926782,4.2225727968799065,-0.41228291009585877,3.8686173101908037,0.5425032037590773,703315.0336490169,A,,,
8.0,5.0,0.5,1.25,1.593515642535296,4.215171121383636,-0.4110061648852901,3.877108857917104,0.5425032037590773,699674.7885061547,A,,,
7.0,4.0,0.5,1.5,1.5305386565639738,4.118016520356828,-0.4103608244507458,3.7297387210695576,0.5433575395130287,556827.3297337817,A,,,
8.0,5.0,0.3,1.2,1.5232238543382386,4.170520598480531,-0.39962486960858373,3.8116342854992338,0.5412217001281504,542052.8195372955,A,,,
8.0,5.0,0.5,1.2,1.5218147579705081,4.162898653241842,-0.39832062631629367,3.820577337519257,0.5412217001281504,539247.2415969837,A,,,
7.0,5.0,0.3,1.3,1.4694212566182774,4.078198506151066,-0.39073288599763467,3.7606797617418173,0.5433575395130287,443695.0762185852,A,,,
7.0,5.0,0.5,1.3,1.466742179019406,4.066284530498335,-0.38952050193776633,3.765507005979745,0.5433575395130287,439243.40131532826,A,,,
6.0,5.0,0.3,1.5,1.4616024778433139,3.983836719444643,-0.38885501046987825,3.758733817206487,0.5433575395130287,430814.47256882105,A,,,
6.0,5.0,0.5,1.5,1.4577859260215882,3.9682726170863694,-0.38781936218461716,3.7589302344518454,0.5433575395130287,424649.16079576506,A,,,
8.0,5.0,0.3,1.15,1.4529198071779628,4.115874648143479,-0.38674781943825304,3.7567627641399834,0.541648868005126,416902.6097477152,A,,,
8.0,5.0,0.5,1.15,1.4515499721612697,4.108019981485106,-0.38541560229185284,3.766194112354837,0.541648868005126,414744.7891018143,A,,,
7.0,5.0,0.3,1.25,1.4065991233358162,4.03597409269601,-0.3789433268768938,3.7118983857783405,0.5425032037590773,349236.6354857072,A,,,
7.0,5.0,0.5,1.25,1.4039882015323744,4.023749667065935,-0.3777074827069646,3.717131022849302,0.5425032037590773,345732.6796186773,A,,,
8.0,5.0,0.3,1.1,1.3840409602470474,4.058117172021513,-0.37364894938701537,3.704121107573343,0.5407945322511747,319981.30799363414,A,,,
8.0,5.0,0.5,1.1,1.382709590677191,4.05001821326867,-0.37228827650929586,3.714083085403484,0.5407945322511747,318325.13636854273,A,,,
6.0,5.0,0.3,1.4,1.3524241616243282,3.924885791014744,-0.36799070501182457,3.675158484182015,0.5433575395130287,282658.6457967306,A,,,
6.0,5.0,0.5,1.4,1.348776883560412,3.9085477030929643,-0.36691970000673246,3.6759456729515034,0.5433575395130287,278613.5665627495,A,,,
7.0,5.0,0.5,1.2,1.3423950160155704,3.9792340553010344,-0.36571032059955483,3.670651169523501,0.5412217001281504,271659.7549978896,A,,,
8.0,5.0,0.3,1.05,1.3165751356251612,3.9966477291594216,-0.360325429381089,3.653850181727582,0.5412217001281504,245079.58983028965,A,,,
8.0,5.0,0.5,1.05,1.3152814423987063,3.9882944559448528,-0.35893581274684544,3.6643917817316374,0.5412217001281504,243811.09741393066,A,,,
7.0,5.0,0.3,1.15,1.2844316913250586,3.9452205517871914,-0.35481074164042936,3.6200473677505554,0.541648868005126,215246.13445179016,A,,,
7.0,5.0,0.5,1.15,1.2819533090911737,3.9323163810301676,-0.3535268759032897,3.62618345724262,0.541648868005126,213086.5301061021,A,,,
8.0,5.0,0.3,1.0,1.2505097002619845,3.9307756844570547,-0.3467744096086073,3.6061187492854305,0.5403673643741991,187317.18622826072,A,,,
8.0,5.0,0.5,1.0,1.2492529013304385,3.9221604962736585,-0.34535535500175696,3.6172970340190123,0.5403673643741991,186347.66269368667,A,,,
7.0,5.0,0.3,1.1,1.2250674551397154,3.8957751156744562,-0.34246343053112427,3.5772212327598494,0.5407945322511747,168541.90146778827,A,,,
7.0,5.0,0.5,1.1,1.2226534772252289,3.882503020096845,-0.34115499481010214,3.583865093066561,0.5407945322511747,166850.88934454054,A,,,
6.0,5.0,0.3,1.25,1.1952603811262112,3.82889085474088,-0.33561497042043176,3.5614036514190177,0.5425032037590773,148695.18282865683,A,,,
6.0,5.0,0.5,1.25,1.1918567751085187,3.811170604089883,-0.33448910139029164,3.563215573107195,0.5425032037590773,146567.23165787943,A,,,
5.0,5.0,0.2,1.5,1.1864371112337269,3.747886913220184,-0.3323603097046258,3.569731633383461,0.5433575395130287,143234.8791208808,A,,,
5.0,5.0,0.3,1.5,1.1856518876955837,3.7439812827276695,-0.33159095881521644,3.5756460065496065,0.5433575395130287,142757.7239977846,A,,,
5.0,5.0,0.5,1.5,1.180738729006082,3.720294182220733,-0.3309906066467488,3.567287727492009,0.5433575395130287,139804.2230132518,A,,,
7.0,5.0,0.3,1.05,1.1668364424554971,3.842875402357426,-0.3299258937221595,3.5366622161464085,0.5412217001281504,131740.14772350912,A,,,
7.0,5.0,0.5,1.05,1.1644856394250938,3.8292189578226408,-0.3285925094860648,3.5438593571302275,0.5412217001281504,130418.37441385194,A,,,
6.0,5.0,0.3,1.2,1.1446077381035136,3.7937707331992963,-0.3245293521376041,3.5269775462966044,0.5412217001281504,119706.16291800668,A,,,
6.0,5.0,0.5,1.2,1.1412826656584616,3.775526450758822,-0.3233846973826973,3.529179565067218,0.5412217001281504,117993.06862211347,A,,,
7.0,5.0,0.3,1.0,1.1097284963551637,3.785853397155888,-0.3171959537601929,3.498558172637167,0.5403673643741991,102792.61081723635,A,,,
7.0,5.0,0.5,1.0,1.1074396497927816,3.7717993271270656,-0.31583723814490766,3.5063618726449315,0.5403673643741991,101761.27350848122,A,,,
5.0,5.0,0.2,1.4,1.1015511624237968,3.7046475401343795,-0.3134684061835193,3.5140739567192507,0.5433575395130287,99150.27053464204,A,,,
5.0,5.0,0.3,1.4,1.1007964243017305,3.7005151375785084,-0.312677285314003,3.5205513032271174,0.5433575395130287,98819.97347409108,A,,,
5.0,5.0,0.5,1.4,1.096074013443424,3.675505608003749,-0.3120599452471067,3.5123828935350567,0.5433575395130287,96775.49643443365,A,,,
6.0,5.0,0.3,1.1,1.0458648965103459,3.7165199380880445,-0.30190860125085955,3.4641772118354583,0.5407945322511747,77258.83954613448,A,,,
6.0,5.0,0.5,1.1,1.0426929183099416,3.6971322208948045,-0.3007256132979908,3.4672567689694294,0.5407945322511747,76153.20158976292,A,,,
5.0,5.0,0.2,1.3,1.0190834598823266,3.6581105613073266,-0.2941441631488915,3.4645714161816676,0.5433575395130287,68357.52094596335,A,,,
5.0,5.0,0.3,1.3,1.0183583387022899,3.653717323089983,-0.2933307740952299,3.4717064441785426,0.5433575395130287,68129.8030777899,A,,,
5.0,5.0,0.5,1.3,1.0138212416164505,3.6271895842488417,-0.2926960573633779,3.463733849881709,0.5433575395130287,66720.27205676162,A,,,
6.0,5.0,0.3,1.05,0.9977606814580595,3.6733589846055876,-0.2903704536007708,3.4361646272381305,0.5412217001281504,61937.45349234192,A,,,
6.0,5.0,0.5,1.05,0.9946632856612891,3.6533550945980133,-0.28916791306539924,3.439742933844574,0.5412217001281504,61051.0772549502,A,,,
5.0,5.0,0.2,1.25,0.9787461353938645,3.6330205925471963,-0.28431759714289717,3.4424395296994215,0.5425032037590773,56672.15770321905,A,,,
5.0,5.0,0.3,1.25,0.9780355007117421,3.6284830578805503,-0.28349288450046983,3.449947262115925,0.5425032037590773,56483.367022129416,A,,,
5.0,5.0,0.5,1.25,0.9735890459203007,3.60111678440016,-0.28284933156505476,3.442076530756719,0.5425032037590773,55314.78800981478,A,,,
6.0,5.0,0.3,1.0,0.9504916936186054,3.6263396329140276,-0.279223427465085,3.4040542451884988,0.5403673643741991,49584.57871689264,A,,,
6.0,5.0,0.5,1.0,0.9474675852609202,3.605694698694855,-0.2790415049709412,3.3954360494134646,0.5403673643741991,48874.98234446213,A,,,
5.0,5.0,0.2,1.2,0.9390008460301646,3.6063105372313893,-0.2743801563827574,3.42226223065588,0.5412217001281504,46936.24175342876,A,,,
5.0,5.0,0.3,1.2,0.9383044852261138,3.6016190243597586,-0.2735439923856573,3.430177636302247,0.5412217001281504,46779.88410961307,A,,,
5.0,5.0,0.5,1.2,0.933947342362651,3.573359038707472,-0.27289150354634645,3.4224126813242255,0.5412217001281504,45812.059533086525,A,,,
4.0,5.0,0.2,1.5,0.9083427222531839,3.481258227041196,-0.2722731761221653,3.3361447322509026,0.5433575395130287,40477.02713135574,A,,,
4.0,5.0,0.3,1.5,0.9071764912656708,3.4742599965782395,-0.27167147871927605,3.339240819619036,0.5433575395130287,40247.814865255605,A,,,
5.0,5.0,0.2,1.15,0.89984326708958,3.577602802591747,-0.26433090127625364,3.40423031414382,0.541648868005126,38832.883459898956,A,,,
5.0,5.0,0.3,1.15,0.8991609690969058,3.572747495114267,-0.26348315707583947,3.4125937273405924,0.541648868005126,38703.52035084881,A,,,
5.0,5.0,0.5,1.15,0.8948918175130649,3.54353807537093,-0.26282163178740464,3.404939735846931,0.541648868005126,37902.78689657432,A,,,
