round,sig_coef,size_min,short_amp,target_vol,train_calmar_median,train_annual_r,train_max_dd,test_calmar_median,test_annual_r,test_max_dd
Round1,2.0,0.2,2.0,0.012,17.806023789513084,1.091256444466254,-0.13977070460964344,11.604300559048948,0.8824731455032468,-0.09070191470125757
Round1,1.8,0.2,2.0,0.012,17.800692457509015,0.978445635347128,-0.1276766419653572,11.511946092184552,0.790482657645353,-0.0816073107261825
Round1,1.6,0.15,2.0,0.015,17.777874363373186,1.0924137249054535,-0.1398800074137295,11.594820211912161,0.881834322742111,-0.0908676753306591
Round1,1.5,0.15,2.0,0.015,17.76251119012523,1.0225216943201945,-0.13232277897303255,11.541740735070327,0.8242033420913499,-0.08520078173414379
Round1,1.2,0.1,2.0,0.02,17.750234932386014,1.0935074370374243,-0.14010206881284487,11.576125697148395,0.8806101466896219,-0.09114394304632789
Round1,1.2,0.15,2.0,0.02,17.743813458062178,1.0912195960888234,-0.13936431703427485,11.664253965247822,0.8856958561052442,-0.08978232409852543
Round1,1.6,0.2,2.0,0.015,17.73950886275042,1.0911032219056525,-0.13936431703427474,11.664253965247822,0.8856958561052442,-0.08978232409852543
Round1,1.4,0.15,2.0,0.015,17.735035796778625,0.9498740583562046,-0.12472065370344167,11.476002659042972,0.7671858279438672,-0.07950965268481693
Round1,2.0,0.15,2.0,0.012,17.727882512607493,1.0942158930706576,-0.14029388133018605,11.554647865396225,0.8794461460162402,-0.09136495721886326
Round1,1.6,0.1,2.0,0.015,17.686905378497094,1.096055027948327,-0.14057356651674044,11.523359716308281,0.8779675690586266,-0.09169647847766603
Round1,2.0,0.1,2.0,0.012,17.651786354083132,1.097865157755216,-0.1404150591162708,11.51602553002473,0.8785131945594995,-0.09202799973646875
Round1,1.5,0.1,2.0,0.015,17.65129117351317,1.0259437445870447,-0.1329947754635914,11.470085423842024,0.8204215300636015,-0.0860347510589658
Round1,1.8,0.15,2.0,0.012,17.650489436979143,0.9806109384333881,-0.12813677213922406,11.463615685098102,0.7876307011843855,-0.08229126394753376
Round1,1.2,0.05,2.0,0.02,17.64805255887992,1.0989656280761353,-0.1402499289290708,11.508081437135672,0.8786856382495771,-0.09224901390900395
Round1,1.6,0.05,2.0,0.015,17.63241263990256,1.0995717586069156,-0.14004351619507033,11.480628377220572,0.8779073357561262,-0.09252528162467283
Round1,1.4,0.15,2.0,0.02,17.63014396852587,1.2673337240385947,-0.15533891192174545,11.67521672722608,1.028696489263902,-0.10504620174987446
Round1,1.8,0.2,2.0,0.015,17.630027163832466,1.2223161240867064,-0.15285598685814536,11.67586942772467,0.9940008562794922,-0.10129297417645898
Round1,1.6,0.3,2.0,0.015,17.625100504535574,1.0951416982382098,-0.13905343853541274,11.781617662488532,0.8915651325516778,-0.08703858787988472
Round1,2.0,0.15,2.0,0.015,17.62167730207461,1.3567759570841544,-0.16093430960531085,11.562231805528658,1.0899185200537782,-0.11389753918720318
Round1,2.0,0.3,2.0,0.012,17.61756123069476,1.0909929305328956,-0.13882035031737727,11.725482122669845,0.8890067065900134,-0.08868530338838211
Round2,1.2,0.1,1.5,0.02,14.175823292723363,0.7173874588221747,-0.10961410669747973,16.217855787734905,0.5889401455964494,-0.04390157338245291
Round2,2.0,0.3,1.6,0.015,14.175023959546948,0.9301330824299863,-0.12780362196465686,16.066664031228058,0.7899383776190121,-0.055776858525717864
Round2,2.0,0.15,1.6,0.015,14.169132282298634,0.9216615634215137,-0.1276374210503229,16.03052330773763,0.7632777718612629,-0.05508033901962407
Round2,1.2,0.15,1.6,0.02,14.165902368453427,0.7721884594111237,-0.11294517974767192,15.699167847527287,0.6216166270813088,-0.04877114799902037
Round2,1.6,0.2,1.6,0.015,14.16169490020925,0.7720902509139438,-0.11294517974767192,15.699167847527292,0.621616627081309,-0.04877114799902036
Round2,1.6,0.15,1.5,0.015,14.15860805991814,0.7175096615848151,-0.10969031026062799,16.2263976079453,0.5898535148489383,-0.044127977002054855
Round2,1.5,0.2,1.6,0.02,14.156164091758894,0.9267116245850198,-0.12798406723955663,16.166435808784865,0.7782185936079677,-0.0555246451677756
Round2,2.0,0.15,1.5,0.012,14.146008672677727,0.7172748388333272,-0.10944859639118083,16.171080027646003,0.5874782817792914,-0.04387585442532271
Round2,1.5,0.1,1.6,0.02,14.139632252590964,0.921304006474023,-0.12756599971235977,15.984347297227277,0.7609983011703525,-0.05500333898810996
Round2,1.4,0.1,1.6,0.02,14.137092069333661,0.874010120921922,-0.12483519456538339,15.887196312500134,0.7122013115681585,-0.052724994805624946
Round2,2.0,0.2,1.5,0.012,14.136442994823883,0.7173695206001127,-0.1097253781123946,16.206136583040074,0.5902917250663164,-0.04427717870249594
Round2,1.5,0.15,1.6,0.02,14.13502779863077,0.9219535757542388,-0.12797667556572576,16.119380079703916,0.7671313947699636,-0.05523594517883699
Round2,1.4,0.15,1.6,0.02,14.127410038421889,0.8749371652683535,-0.12519839800017693,15.989497726136014,0.7178978892889039,-0.052959318905947544
Round2,2.0,0.2,1.6,0.015,14.125495389445653,0.9216832697227477,-0.12797667556572576,16.119380079703916,0.7671313947699638,-0.05523594517883698
Round2,1.2,0.1,1.4,0.02,14.11749386217579,0.6666607529894626,-0.10639037188947031,16.72446052591994,0.5620421071633268,-0.040006892935685004
Round2,2.0,0.2,1.6,0.012,14.11575026139025,0.7693703915296624,-0.11295380041369389,15.784110008212043,0.6174708105294502,-0.048176828566812456
Round2,2.0,0.15,1.5,0.015,14.112000477002596,0.8571002764735114,-0.12416884673993975,16.439901841294514,0.7295602352741759,-0.050731119045632954
Round2,1.8,0.15,1.5,0.015,14.111833778700792,0.7898649712926229,-0.11973236203553793,16.27722158681858,0.6593902593309706,-0.04768308449369201
Round2,1.5,0.2,1.5,0.02,14.110118582836485,0.8619806727729789,-0.12451687121854145,16.580753834229746,0.7442153574493653,-0.05117747021967818
Round2,1.8,0.2,1.6,0.015,14.106617197847129,0.8492447463748851,-0.12332954291654603,15.911312212872215,0.692854813835101,-0.05182156498175191
Round3,1.6,0.3,1.6,0.02,15.2284222537073,1.0706927306068215,-0.12788898202247534,2.900856100341123,0.3229768156635737,-0.1007959835274475
Round3,1.6,0.3,1.5,0.02,15.138631525543445,1.0009086897596124,-0.11887117802882748,2.8304522020674185,0.2979745977900259,-0.09559026243974145
Round3,1.5,0.3,1.6,0.02,15.118308400515875,1.0198074473788843,-0.12496907061249996,2.863049911569294,0.29823832966016894,-0.09508138607102677
Round3,2.0,0.3,1.6,0.015,15.007925979221088,0.9921413092506872,-0.12447780149075466,2.9700618589629326,0.3090909196665217,-0.09252618245432663
Round3,1.4,0.3,1.6,0.02,14.97849638954646,0.9662562424697518,-0.12144395117183791,2.847907655126748,0.276972487058988,-0.08953420345063726
Round3,1.5,0.3,1.5,0.02,14.946580253380805,0.9538493625400748,-0.11613804615215735,2.79214513437503,0.27503635159120865,-0.09028282345098507
Round3,1.2,0.2,1.6,0.02,14.935627798852163,0.8164940737833501,-0.10829947091391603,2.944057546924655,0.25043071996217936,-0.07500179058188516
Round3,2.0,0.3,1.6,0.012,14.911169361809595,0.8103873477738253,-0.10829441815821036,2.997645217953078,0.25392260638049224,-0.07421098849010116
Round3,1.8,0.3,1.6,0.02,14.870888448685083,1.1631652286910552,-0.13434159354166778,2.9409435967400994,0.3659703772284244,-0.11181750241210056
Round3,1.2,0.15,1.6,0.02,14.868722636802135,0.8002414999036169,-0.10885766667200483,3.0160223921100107,0.2562520126716845,-0.07340756101404464
