round,dd_t1,dd_s1,dd_t2,dd_s2,train_calmar,test_calmar,test_annual_r,test_max_dd,no_dd_max_dd,dd_improvement
Round1,-0.08,0.9,-0.15,0.2,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.2,0.2,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.2,0.0,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.2,0.1,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.18,0.3,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.18,0.2,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.18,0.1,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.18,0.0,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.25,0.3,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.25,0.0,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.25,0.1,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.25,0.2,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.12,0.3,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.08,0.9,-0.2,0.3,17.79306679185663,11.177582883793676,1.0574703152529765,-0.11261085388809587,-0.11470534734467817,-0.0020944934565823026
Round1,-0.15,0.7,-0.25,0.0,17.7763055686504,11.335794937680674,1.0768879947089012,-0.11470534734467817,-0.11470534734467817,0.0
Round1,-0.15,0.7,-0.2,0.2,17.7763055686504,11.335794937680674,1.0768879947089012,-0.11470534734467817,-0.11470534734467817,0.0
Round1,-0.15,0.7,-0.18,0.2,17.7763055686504,11.335794937680674,1.0768879947089012,-0.11470534734467817,-0.11470534734467817,0.0
Round1,-0.15,0.7,-0.18,0.3,17.7763055686504,11.335794937680674,1.0768879947089012,-0.11470534734467817,-0.11470534734467817,0.0
Round1,-0.15,0.7,-0.2,0.0,17.7763055686504,11.335794937680674,1.0768879947089012,-0.11470534734467817,-0.11470534734467817,0.0
Round1,-0.15,0.7,-0.2,0.1,17.7763055686504,11.335794937680674,1.0768879947089012,-0.11470534734467817,-0.11470534734467817,0.0
Round2,-0.06,0.5,-0.18,0.0,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.15,0.0,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.2,0.0,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
