date,daily_return,equity
2010-04-07,0.004913097304598239,1004913.0973045983
2010-04-08,0.03287239005848761,1037946.9926140779
2010-04-09,-0.0028264589006871017,1035013.2780983624
2010-04-12,0.004803983745644201,1039985.4650628729
2010-04-13,-0.008734145323035961,1030902.0808771686
2010-04-14,-0.0011634161615898108,1029702.7127352596
2010-04-15,0.008899342681382547,1038866.3900358399
2010-04-16,0.001188908116960095,1040101.5067193904
2010-04-19,-0.015925160216464694,1023537.7235834977
2010-04-20,0.019753170774485518,1043755.8390315707
2010-04-21,-0.0050790833874260945,1038454.5160890165
2010-04-22,-0.010802224865550976,1027236.896893576
2010-04-23,0.0052593924056341754,1032639.5388278853
2010-04-26,0.007858676177456773,1040754.718571572
2010-04-27,0.00927855497581834,1050411.4184441806
2010-04-28,0.010592934440632416,1061538.3577354515
2010-04-30,0.020314162081694155,1083102.619990425
2010-05-06,0.003568549208414694,1086967.7249876237
2010-05-07,0.008280558850985368,1095968.4252035054
2010-05-10,0.04145012214170339,1141396.450291641
2010-05-11,0.01534359839759994,1158909.5790373622
2010-05-12,0.01489548240913316,1176172.0962856892
2010-05-13,-0.013397034491399987,1160414.8781439275
2010-05-14,0.0021899709609278285,1162956.1530296914
2010-05-17,0.0027223286990308883,1166122.1019407988
2010-05-18,0.018182617480748477,1187325.2540562346
2010-05-19,0.02130161692048386,1212617.2017781567
2010-05-20,-0.0026526598220384806,1209400.540847487
2010-05-21,-0.006118541089507616,1202000.773944639
2010-05-24,0.022699718562480285,1229285.8532250656
2010-05-25,0.016333873835465987,1249364.853259367
2010-05-26,-0.014652497471560886,1231058.537905927
2010-05-27,0.035275876101793356,1274485.2063631513
2010-05-28,-0.003441440568772371,1270099.141269673
2010-06-01,0.015066193911719598,1289234.7012191503
2010-06-02,0.014134684358501062,1307457.6267849095
2010-06-03,-0.015691013249057632,1286942.291840446
2010-06-04,0.019432051265004833,1311950.2204305923
2010-06-07,0.002592557097990146,1315351.5262867794
2010-06-08,0.0005160772422677386,1316030.3492750782
2010-06-09,0.0022328778099302386,1318968.8842391693
2010-06-10,0.003084954682241133,1323037.8434743332
