Price,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Ticker,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,11352.850428042206,7423.715390625,7421.434570312499,8636.1123046875,8192.668130764494,8720.601802489857,13411.393080154405,12594.19850041316,9084.67058065979,6907.890625,9185.1854334227,7589.484375,12893.994140625,7128.284982426375,4742.720104150268,5693.234925340977,13625.7333984375,11337.4462890625,7436.373046875,7421.4345703125,8636.1123046875,8110.89013671875,8768.033203125,13326.6640625,12655.0400390625,9101.9912109375,6907.890625,9176.984375,7589.484375,12900.9638671875,7103.73291015625,4672.10888671875,5679.61474609375,13625.7333984375
2010-01-05,11368.254249510388,7524.97677463868,7526.155086995374,8739.111661368044,8222.404303095143,8781.58408668882,13490.068795986277,12860.380859375,9205.914090819399,6963.66458573903,9250.7958984375,7688.446381374378,13172.785161430704,7144.653865578518,4713.299290707237,5788.576988532529,13708.868130878336,11306.6376953125,7676.86865234375,7532.490234375,8683.650390625,8170.36376953125,8666.3935546875,13726.099609375,12860.380859375,9257.8759765625,6979.7841796875,9250.7958984375,7650.384765625,13137.9365234375,7152.837890625,4695.646484375,5822.62744140625,13700.5546875
2010-01-06,11314.338291452892,7695.855584016394,7576.835401251575,8683.649644886364,8177.797569522789,8646.066126362928,13605.058166611552,12814.750401604106,9179.934411080349,7012.024059252207,9226.191332986264,7718.894410733961,13228.542954448876,7201.940780191874,4725.067569473415,5788.577505798691,13792.004735024111,11352.8486328125,7721.1708984375,7545.15966796875,8715.341796875,8237.2724609375,8700.2734375,13726.099609375,12852.7763671875,9188.5947265625,7076.50244140625,9291.7998046875,7772.1806640625,13326.119140625,7251.044921875,4848.63720703125,5917.96923828125,14008.154296875
2010-01-07,11306.6376953125,7733.828771502,7576.835565786729,8699.495676369863,8207.53690219855,8686.720064367139,13859.247956967885,12883.19675813841,9188.594705272511,7068.442643636995,9308.20357084065,7734.118952349075,13353.99609375,7234.675840836865,4913.363320824643,5992.881112598648,14124.540719189163,11306.6376953125,7714.84228515625,7589.505859375,8675.7265625,8200.1025390625,8618.9609375,13804.779296875,12761.513671875,9136.6328125,7076.50244140625,9341.0078125,7817.8544921875,13277.3291015625,7242.85986328125,4936.900390625,6040.5517578125,14049.7197265625
2010-01-08,11368.257581784623,7714.842038984505,7678.198312461228,8794.573014381782,8148.060891335227,8774.808314946278,13859.243857913172,12928.82820458018,9136.633189082924,7116.80149706367,9324.60441628002,7817.855219215298,13402.785152708064,7308.3334624001345,4972.206054687499,6060.980796089386,14049.719083180147,11345.1513671875,7607.251953125,7659.19287109375,8762.880859375,8177.79833984375,8829.015625,13713.994140625,13065.7216796875,9275.1982421875,7108.74169921875,9390.212890625,7924.427734375,13451.5732421875,7234.67724609375,4972.2060546875,6095.03125,14132.853515625
2010-01-12,11399.064918405114,7626.238795083172,7633.852557102448,8723.265150744783,8177.79833984375,8930.654641888099,13919.766645913669,12928.827073838977,9283.85891246531,7149.6044921875,9390.215175509038,7977.7138671875,13479.45309223278,7242.861270127793,4913.363398852568,6129.082289656836,14207.676488707757,11445.27734375,7740.15771484375,7716.20947265625,8826.2646484375,8177.79833984375,9052.62109375,14125.537109375,13141.7724609375,9361.8017578125,7149.6044921875,9414.818359375,7977.7138671875,13709.4541015625,7234.67724609375,4983.974609375,6176.7529296875,14390.572265625
2010-01-13,11476.083905672851,7607.251953125,7678.19873046875,8857.95703125,8125.758907702007,9147.483785377359,14016.600935655335,13187.405148121386,9318.500320065177,7084.562725823243,9414.816630434783,7916.814958794514,13521.270515933602,7324.701171875,4983.9745402018225,6210.802695225501,14349.003039981619,11468.3818359375,7607.251953125,7678.19873046875,8857.95703125,8200.1025390625,8978.0859375,13841.0908203125,13156.984375,9301.1796875,7197.39990234375,9431.21875,7909.20263671875,13409.7548828125,7324.701171875,4942.78466796875,6115.46142578125,14132.853515625
2010-01-14,11237.320120378447,7695.855669568822,7652.858398437499,8620.265777236493,8133.190987723215,9059.397319660002,13835.0361328125,12852.775400750648,9041.369940442184,7213.517578125,9447.61970613656,7962.489329039707,13409.75390625,7278.29736328125,5031.048847496718,6169.94280548768,13800.318242442205,11314.3408203125,7632.5673828125,7652.8583984375,8945.1103515625,8222.4033203125,9086.5009765625,13835.0361328125,13202.6142578125,9474.3857421875,7213.517578125,9488.625,7932.0400390625,13723.3916015625,7278.29736328125,5042.8173828125,6183.56298828125,14024.78125
