,PCA_PLAIN
2018-07-06,-0.004055841516387394
2018-07-09,-0.0038220111406509156
2018-07-10,-0.00702767701520908
2018-07-11,-0.005611720541073541
2018-07-12,0.0015555230068587803
2018-07-13,-0.0028414913164019995
2018-07-16,2.5069977124919872e-17
2018-07-17,-0.004325881482004225
2018-07-18,-6.853861457827503e-05
2018-07-19,-0.002193679419074025
2018-07-20,0.000854305360691165
2018-07-23,-0.0036491301478800997
2018-07-24,-0.004827897149036045
2018-07-25,-0.0033583960742061755
2018-07-26,-0.00026669188575749496
2018-07-27,-0.0005225831391404148
2018-07-30,0.0020488381513063397
2018-07-31,0.0005953419232872002
2018-08-01,0.0008373907218842203
2018-08-02,0.002627183431201421
2018-08-03,-0.00370220105965068
2018-08-06,-0.00125614531796654
2018-08-07,-0.0036105851043188794
2018-08-08,0.0036791241099358605
2018-08-09,-0.0005980861244019201
2018-08-10,0.00235701916715428
2018-08-13,-0.01097774781470872
2018-08-14,-0.002704260989978614
2018-08-15,0.0007966848586882808
2018-08-16,-0.00514053643634208
2018-08-17,-0.004820447154064301
2018-08-20,0.007232237673017601
2018-08-21,0.00026090907561046004
2018-08-22,0.0010120856824915399
2018-08-23,0.0
2018-08-24,0.00266597083596804
2018-08-27,0.0009555852334274004
2018-08-28,-0.00208135865597946
2018-08-29,-0.0017287177022046601
2018-08-30,-0.00229238496045538
2018-08-31,-0.0034409691328197004
2018-09-04,0.001624995482350679
2018-09-05,0.00318960541808652
2018-09-06,0.0008863203323479802
2018-09-07,-0.0037655715414647603
2018-09-10,0.00359441376071356
2018-09-11,-0.0043374030078735405
2018-09-12,-0.0017740177358917199
2018-09-13,-0.00409498792117274
2018-09-14,-0.0010098353092803801
2018-09-17,0.0
2018-09-18,-0.014332885916756398
2018-09-19,-0.0028964127409686
2018-09-20,0.007351256890050039
2018-09-21,-0.0008197220530793596
2018-09-24,-2.350828549456766e-17
2018-09-25,0.002995070640017963
2018-09-26,0.004110741320626662
2018-09-27,0.004281222520559524
2018-09-28,0.009363218562513261
2018-10-01,0.00446529409623702
2018-10-02,-0.00417302756033258
2018-10-03,-0.0013940673815520605
2018-10-04,-0.00399463728586422
2018-10-05,-0.00027176818439896
2018-10-08,-2.3242571447942496e-17
2018-10-09,-0.00317844310680346
