,PCA_SUB
2010-04-07,0.007759018704604839
2010-04-08,0.00378229239835266
2010-04-09,2.750142051999977e-05
2010-04-12,-0.00856189737388224
2010-04-13,-0.0015001981556260206
2010-04-14,-0.0017496019757759402
2010-04-15,0.0030811608982738354
2010-04-16,0.00404389858269384
2010-04-19,-0.001147809488376343
2010-04-20,0.008517112342269682
2010-04-21,-0.0017111280350035998
2010-04-22,0.005417339691761438
2010-04-23,0.00077643535682178
2010-04-26,0.00739520959894512
2010-04-27,0.004530663039882039
2010-04-28,0.00242413658060066
2010-04-30,0.00576547766440602
2010-05-06,-0.01034793118994606
2010-05-07,0.008292755863205761
2010-05-10,-0.0001721957755218828
2010-05-11,0.008954748466991642
2010-05-12,0.00269976033352732
2010-05-13,-0.01070311386075114
2010-05-14,0.0030511887753508
2010-05-17,-0.01103516834215168
2010-05-18,0.0135648678797563
2010-05-19,0.004908026595547
2010-05-20,-0.0025699604350233
2010-05-21,0.016462255609311603
2010-05-24,0.0028213437381624405
2010-05-25,0.008524689268532582
2010-05-26,-0.0072092392375630995
2010-05-27,0.02243796132930356
2010-05-28,0.0036475019045682597
2010-06-01,-2.0334510951979835e-05
2010-06-02,0.00481989779176696
2010-06-03,-0.004439152391111079
2010-06-04,0.0008976987030981001
2010-06-07,-0.02297937016725434
2010-06-08,-0.00014730524026820022
2010-06-09,0.009032518834101241
2010-06-10,0.0059353452151668
2010-06-11,0.015038106220656178
2010-06-14,-0.0004194167758888398
2010-06-15,0.0004629491443781603
2010-06-16,0.0034965032674172942
2010-06-17,0.00292399023424006
2010-06-18,0.0035665282934118033
2010-06-21,0.011106819117407615
2010-06-22,-0.00740813275028558
2010-06-23,-0.00858142016576937
2010-06-24,0.0037422754357405406
2010-06-25,-0.00905853641477106
2010-06-28,-0.01181541289394272
2010-06-29,0.006194402501886321
2010-06-30,0.0025789748192767067
2010-07-01,-0.011761799422643979
2010-07-02,-0.00378012814751642
2010-07-06,-0.007692651086343203
2010-07-07,0.00120358326206112
2010-07-08,-0.000683774954797245
2010-07-09,0.00789956140310476
2010-07-12,0.006617632623575523
2010-07-13,0.006312834810409419
2010-07-14,0.002240482877302904
2010-07-15,0.01013549976091096
2010-07-16,0.007022875689284842
2010-07-21,-0.00885848532804814
2010-07-22,-6.829221261308032e-05
2010-07-23,-0.008392336942238919
2010-07-26,0.00011996959670943993
2010-07-27,-0.0009738782215440355
2010-07-28,-0.005907283802723403
2010-07-29,-0.0035563190581252803
2010-07-30,-0.0017609441947537578
2010-08-02,0.00039031705217343945
2010-08-03,0.0011035884638435597
2010-08-04,0.0024676321333752804
2010-08-05,-0.0007200660341285004
2010-08-06,0.00557980164127004
2010-08-09,0.0003815747221556601
2010-08-10,0.005204000960020381
2010-08-11,0.00885923241425036
2010-08-12,-0.0024064732880102802
2010-08-13,0.00797703523209448
2010-08-16,0.00392751664461404
2010-08-17,-0.0021140052903883804
2010-08-18,-0.003944663483344519
2010-08-19,-0.001127580408584817
2010-08-20,-0.004687955728871657
2010-08-23,0.00381257635951514
2010-08-24,0.00305432633948744
2010-08-25,-0.00379219558650938
2010-08-26,0.002406453534915736
2010-08-27,0.0022335449222957195
2010-08-30,-0.007119064314540441
2010-08-31,-0.005525311143682161
2010-09-01,-0.0004060958888841195
2010-09-02,0.005966273375284698
2010-09-03,0.005091021191958381
2010-09-07,-9.041123480887979e-05
2010-09-08,0.0005249498554487397
2010-09-09,0.00173687632343544
2010-09-10,-0.00340172600875546
2010-09-13,0.0012840751351786402
2010-09-14,0.00022304125272209997
2010-09-16,-0.0006593496390341199
2010-09-17,0.00355970935979378
2010-09-21,0.007117226075587339
2010-09-22,0.003872262641958799
2010-09-24,-0.0015483592367718996
2010-09-27,-0.0006758025413252794
2010-09-28,-0.0001576892285631796
2010-09-29,-0.0062650919829814
2010-09-30,-0.00029426296025618186
2010-10-01,-0.010549725882195741
2010-10-04,-0.007761909783500721
2010-10-05,0.007435393246757422
2010-10-06,-0.0076144740350996
2010-10-07,-0.0005023262515665809
2010-10-08,-0.009370359321547641
2010-10-12,0.0030873146501428778
2010-10-13,-0.00246365786076038
2010-10-14,-0.006601497704024461
2010-10-15,0.0026393857885913864
2010-10-18,0.0015562154020953545
2010-10-19,0.0007291489900160802
2010-10-20,0.003414273495049975
2010-10-21,1.061471945822015e-05
2010-10-22,-0.0001320992922610998
2010-10-25,-0.0004920205183010099
2010-10-26,0.0032416136047887954
2010-10-27,0.0020375264413906202
2010-10-28,-0.0023811359234059727
2010-10-29,0.0097142969891351
2010-11-01,0.0014551215108453796
2010-11-02,-0.00042300126177599996
2010-11-04,-0.0052526922835468125
2010-11-05,0.008240055966509527
2010-11-08,0.00081576899189104
2010-11-09,-0.001184649772055916
2010-11-10,-0.002239378030606941
2010-11-11,-0.0018159631358438152
2010-11-12,-0.0065857920600187
2010-11-15,-0.00299356157658142
2010-11-16,-0.0008486184848019995
2010-11-17,0.0038025701529356597
2010-11-18,-0.01309489044271432
2010-11-19,0.00229543892292058
2010-11-22,0.00643798168591264
2010-11-24,-0.01008695417501406
2010-11-26,0.003092273501241005
2010-11-29,-0.0007413225266008397
2010-11-30,-0.0019165055199258
2010-12-01,0.0019871885083754806
2010-12-02,0.001284638729549876
2010-12-03,-0.00300460528251496
2010-12-06,3.502375707860008e-05
2010-12-07,-0.00537819101936554
2010-12-08,0.001361206077737119
2010-12-09,-0.0032218562969640223
2010-12-10,0.00093247523354168
2010-12-13,-0.00764107164300056
2010-12-14,0.00463785385835564
2010-12-15,0.0028669799777769995
2010-12-16,0.0044338870567633
2010-12-17,0.0009171063947632934
2010-12-20,0.006761621318553479
2010-12-21,0.0026201678695820197
2010-12-22,0.0005770551583696801
2010-12-27,-0.0030045441992897545
2010-12-28,0.00155259288527676
2010-12-29,0.0002788556614326601
2010-12-30,0.0009606163174977799
2011-01-04,0.0070765700754746395
2011-01-05,-0.00328974131595414
2011-01-06,0.005159805699364919
2011-01-07,-0.0014040580454930999
2011-01-11,0.00334850812978714
2011-01-12,0.0006260001098346399
2011-01-13,-0.0004856406169351824
2011-01-14,0.00722196714218976
2011-01-18,0.00391258918305746
2011-01-19,0.00154990553403428
2011-01-20,0.004584181163135999
2011-01-21,0.018693713827144683
2011-01-24,-0.0011609747648175998
2011-01-25,-0.0100150346328497
2011-01-26,-0.0005234050241661212
2011-01-27,0.0003048736004864199
