sector,sector_name,ticker,IC_full,IC_2010_2015,IC_2016_2020,IC_2021_now,n_days,positive_periods,win_rate,decision
energy,エネルギー,5020,0.04431939092351521,0.06329181873930903,0.04300070358545213,0.027972810631217104,3790,3,0.47704485488126647,B
energy,エネルギー,1605,0.03837135805884156,0.05751530609464765,0.0763457976378663,-0.017590475504066932,3790,2,0.4683377308707124,B
energy,エネルギー,5019,0.032382049713362664,0.0588647061622376,0.019430630587627243,0.023919756038417832,3790,3,0.48232189973614775,B
construction,建設,5233,0.03203992252796588,0.08671289689482145,0.013939576902137646,-0.02268798840384644,3790,2,0.46121372031662267,B
construction,建設,1801,0.029221592163373656,0.05564501692183464,0.045945030201062845,-0.036093256325501505,3790,2,0.4693931398416887,B
construction,建設,1802,0.017750756089935833,0.017353727579597973,0.01836670358562721,0.017754384648187297,3790,3,0.47968337730870714,C
construction,建設,1803,0.003865172174243966,0.03321120070123698,-0.00960058775633115,-0.015271400109603964,3790,1,0.4683377308707124,C
steel,鉄鋼非鉄,5713,0.023933878812954713,-0.017392627368580806,0.05833852841317967,0.015408120751699395,3790,2,0.47651715039577835,B
steel,鉄鋼非鉄,5802,0.02149151138010747,-0.013351398423570093,-0.002845444470969965,0.08391972003685455,3790,1,0.48443271767810026,C
steel,鉄鋼非鉄,5401,-0.02419534196226904,-0.07152241571211308,-0.01965131893041312,0.01552923528325084,3790,1,0.45065963060686015,C
electronics,電機精密,6971,0.025907662952599542,0.026547933879459258,0.026305905837385467,0.025942030729044555,3790,3,0.4868073878627968,B
electronics,電機精密,6861,0.013682836669920597,0.040664482880831986,0.013379792108920647,-0.010313474644052687,3790,2,0.47968337730870714,C
electronics,電機精密,6758,0.00824548969812564,0.014781342225779934,0.011415878382734891,-0.002072826496791177,3790,2,0.47335092348284963,C
electronics,電機精密,6702,0.005427434574369649,0.03065772742259541,0.000817346856014217,-0.016272779855356082,3790,2,0.4762532981530343,C
it_services,情報通信,9984,0.028291700721179085,-0.042666198079373156,0.07113968794035395,0.019206624679351976,3790,2,0.47493403693931396,B
it_services,情報通信,9432,-0.03052389663801454,-0.060860938741107394,-0.025727840030157274,-0.007106826548392989,3790,0,0.4868073878627968,D
it_services,情報通信,9433,-0.04706036757824535,-0.044762880908228844,-0.06511502869481346,-0.022448815759686293,3790,0,0.4794195250659631,D
it_services,情報通信,4307,-0.06143752784869382,-0.08651111030345551,-0.08572330099233204,-0.0035930466114518344,3790,0,0.4857519788918206,D
utilities,電力ガス,9501,0.020027802627051138,0.015246090063514784,0.0037915907125671507,0.0409191418212114,3790,3,0.41530343007915566,B
utilities,電力ガス,9502,0.011657070763043408,0.003561220875230627,-0.004364984337458207,0.040428583963553956,3790,2,0.48073878627968336,C
utilities,電力ガス,9503,0.006837690623672668,0.004914623536744127,0.0073642683676237945,0.010365676405471551,3790,3,0.47968337730870714,C
utilities,電力ガス,9531,-0.009445024452124577,0.002767533559225226,0.008311371075366359,-0.03439752386091352,3790,2,0.48443271767810026,C
trading,商社卸売,8053,0.04222441849697537,0.02923979659433598,0.05935597779910151,0.038695565853546346,3790,3,0.4883905013192612,B
trading,商社卸売,8001,0.04105588713248965,0.05314462152021045,0.04543658951525639,0.025689751357675022,3790,3,0.49445910290237466,B
trading,商社卸売,8058,0.03700036421336885,0.04269487927678487,0.03253598071469702,0.036231255507082685,3790,3,0.47968337730870714,B
trading,商社卸売,8031,0.032294697397063074,0.03705980386032261,0.03411712960127882,0.027323568202783716,3790,3,0.4936675461741425,B
finance,金融,8725,0.040902123805718386,0.01791613478306986,0.05654636507365187,0.05359400602034352,3790,3,0.48126649076517153,B
finance,金融,8750,0.027690381819523435,0.046339785629098226,0.02385422000979569,0.021622200205854984,3790,3,0.47335092348284963,B
finance,金融,8766,0.021286081834007188,0.012315563704123856,0.03725728337103993,0.01186919058901753,3790,3,0.4926121372031662,B
finance,金融,8604,0.01942555333575406,0.03400065133290774,0.013154088858384773,0.01979354822827137,3790,3,0.4651715039577836,C
food,食品,2587,0.02501820583574643,-0.004275413122180287,0.03773453220677729,0.02357227760224196,3022,2,0.4692256783587028,B
food,食品,2503,0.013007402743946671,-0.005321229132240979,0.03338937915810636,0.005287340489919424,3790,2,0.4941952506596306,C
food,食品,2897,0.008493619575604457,0.042944762994765,-0.00034008568665334633,-0.007598764545781018,3790,1,0.4630606860158311,C
food,食品,2914,0.006252472991160828,-0.012157040660491582,0.023234747821961037,0.014209683734720398,3790,2,0.4815303430079156,C
food,食品,2810,0.0042905571684429935,0.024233631491388016,-0.0027978649819675517,-0.006409354809593621,3790,1,0.48390501319261214,C
food,食品,2670,0.00419723371885045,0.004867712481625939,0.015915397790782795,-0.008216337030065999,3790,2,0.47440633245382585,C
food,食品,2269,0.0031649109062622783,-0.0020426872150574498,0.0251714663859324,-0.016311764954164032,3790,1,0.4693931398416887,C
food,食品,2502,-0.0021613196089105527,-0.029745845842934215,-0.015578721182325542,0.03855328371797798,3790,1,0.4841688654353562,C
food,食品,2282,-0.013178352690036364,-0.006251162091035167,-0.029256399768665974,-0.0014284166965759832,3790,0,0.4825857519788918,C
food,食品,2531,-0.014188080247656372,0.03536325906105562,-0.0409348163925668,-0.035365087798689084,3790,1,0.4831134564643799,C
food,食品,2802,-0.015939713069962506,0.031281289448427445,-0.041125638023533646,-0.0324491061226267,3790,1,0.4931398416886544,C
food,食品,2871,-0.01856665476453128,0.018739610620881673,-0.047949052237725553,-0.02507635369898349,3790,1,0.4804749340369393,C
food,食品,2201,-0.022609949967408855,-0.021681501581182254,-0.010552459947173303,-0.04370374651473407,3790,0,0.4461741424802111,C
materials,素材化学,4004,0.022393162619675413,-0.009569281194028044,0.04138832017419405,0.027543694693938137,3790,2,0.44327176781002636,B
materials,素材化学,4208,0.019763220607226635,-0.012175038985692185,0.028690211124397815,0.06427507915412824,3790,2,0.4424802110817942,C
materials,素材化学,4063,0.017200345343660047,0.04047303454941506,0.0021790959497587753,0.019356602077130233,3790,3,0.4656992084432718,C
materials,素材化学,4188,0.0099446804855371,0.002027751469546124,-0.0023714280954113555,0.05218730326776628,3790,2,0.4788918205804749,C
materials,素材化学,4183,0.005784002857963984,-0.022163062093383135,0.0019147838168528677,0.06042956717404265,3790,2,0.4535620052770449,C
materials,素材化学,4021,0.0014324570618759038,0.03648752408384465,-0.013639388205707575,-0.02095352412168868,3790,1,0.48759894459102904,C
materials,素材化学,4911,-0.006802292548645007,-0.021676740508220854,-0.006100461918120347,0.007872630911638392,3790,1,0.4936675461741425,C
materials,素材化学,5101,-0.008727802254984124,-0.04326039375446494,0.014830590428949051,-0.007118505700930063,3790,1,0.47968337730870714,C
materials,素材化学,3861,-0.009428949640182252,0.016219161202994326,-0.03676389919055179,0.015396009128031888,3790,2,0.4741424802110818,C
materials,素材化学,3407,-0.011770687408808588,-0.006726094943812316,-0.03653545832090983,0.03479583948537886,3790,1,0.47176781002638524,C
materials,素材化学,4151,-0.013503588534852257,-0.0035812414786594764,-0.018208470514318276,-0.020119807883031283,3790,0,0.4662269129287599,C
materials,素材化学,5201,-0.01580416455317748,-0.009870103552390014,-0.03119192874780618,0.005063725978452761,3790,1,0.46015831134564644,C
materials,素材化学,4631,-0.01727774975938411,-0.014399266265776459,-0.051649901972479595,0.05108834562465515,3790,1,0.4554089709762533,C
materials,素材化学,5332,-0.02749243078758621,0.0026867315808921646,-0.0696318593174664,0.003575344996733605,3790,2,0.4712401055408971,C
materials,素材化学,4452,-0.02953093442768095,-0.04198555504318672,-0.05196209869712765,0.033998173920407396,3790,1,0.48337730870712403,C
pharma,医薬品,4536,0.01225237297030129,-0.004593220109420205,0.025497074891840135,0.015627604093929957,3790,2,0.47493403693931396,C
pharma,医薬品,4507,0.010745610144962654,0.029104958092311686,-0.01856799430363152,0.02125039093680055,3790,2,0.48601583113456465,C
pharma,医薬品,4516,0.010341938084126616,0.00509074478450774,-0.022813164440152814,0.05288894254815093,3790,2,0.47018469656992085,C
pharma,医薬品,4519,0.008887049803081465,-0.0006646964785891725,0.012583492793529612,0.013343241422193043,3790,2,0.48443271767810026,C
pharma,医薬品,4578,0.00885679924758668,0.028644747304389182,0.010354149527096297,-0.007088654761600319,3627,2,0.4921422663358147,C
pharma,医薬品,4568,0.002711486210117492,-0.04565597033872991,-0.009465629941635056,0.04327532927478586,3790,1,0.48865435356200526,C
pharma,医薬品,4543,0.00043889271661656093,-0.0048149425425112816,-0.00638176210714429,0.011576824267077972,3790,1,0.4820580474934037,C
pharma,医薬品,4523,-0.0013984752797727912,-0.008954607809605374,-0.013817514091839614,0.01654608278364798,3790,1,0.47915567282321897,C
pharma,医薬品,4530,-0.0044646073091197105,-0.03942159178702595,-0.007685978432048453,0.02893873978940662,3790,1,0.4773087071240106,C
pharma,医薬品,2124,-0.004676232385242424,-0.019966064306775583,-0.03344878705335308,0.071121259812892,3790,1,0.45488126649076516,C
pharma,医薬品,4587,-0.014292561762241243,-0.023769373910311736,-0.027238325436498283,0.0032292024337568282,3039,1,0.46791707798617965,C
pharma,医薬品,4506,-0.017093636776796425,-0.027514311538924505,-0.0338039027452366,-2.6664540723767337e-05,3790,0,0.462532981530343,C
pharma,医薬品,4502,-0.01831123944873129,-0.028041127525234067,-0.040439346470944736,0.01983002325377182,3790,1,0.4836411609498681,C
pharma,医薬品,4571,-0.027028210302703675,-0.031163297340206113,-0.051616854712244066,0.0028272374500522505,3790,1,0.4430079155672823,C
pharma,医薬品,4324,-0.05527664183749049,-0.032778125261671225,-0.07670666202095885,-0.05627758836329755,3790,0,0.48812664907651715,D
auto,自動車,7282,0.03829245410308251,0.03154799659780606,0.10984071581154371,-0.05635967826968307,3790,2,0.47862796833773086,B
auto,自動車,7276,0.026416083059447093,0.030604121141178022,0.046563136887838905,0.0002709671323923207,3790,3,0.48390501319261214,B
auto,自動車,7240,0.022712003199590037,0.044277697936081564,0.03931782739872149,-0.020279509995905803,3790,2,0.4878627968337731,B
auto,自動車,7261,0.01684531870278156,-0.009591351177478604,0.04661323918070209,0.0028513760893688804,3790,2,0.4546174142480211,C
auto,自動車,7270,0.016614321772357128,-0.025276663011946608,0.04602867185297843,0.01895408386314666,3790,2,0.4704485488126649,C
auto,自動車,7211,0.015569288805916695,-0.005743851163780134,0.02156371005529193,0.027872229298487414,3790,2,0.4277044854881267,C
auto,自動車,6902,0.015263543862433879,0.0339801246929966,0.06308873640562496,-0.05946200488667194,3790,2,0.4804749340369393,C
auto,自動車,7203,0.013583083700280704,-0.004816475829419965,0.06364733488326266,-0.02975370484267546,3790,1,0.4730870712401055,C
auto,自動車,5108,0.007880466967590769,-0.014470059625887472,0.04206495693427294,-0.01828021691897385,3790,1,0.4883905013192612,C
auto,自動車,7259,0.007033740625208172,-0.00438498719694552,0.0435754070571029,-0.03412670530261307,3790,1,0.46965699208443273,C
auto,自動車,7267,0.00592266521488499,0.0424885692677646,-0.0003954804305606425,-0.012280645702749773,3790,1,0.47810026385224275,C
auto,自動車,7205,0.0047315513512991994,0.028623189236345,-0.03588236518463711,0.03848922465867574,3789,2,0.47796252309316445,C
auto,自動車,7269,0.0021137288019605154,0.030345184703557907,-0.026675412447257393,0.024429372078829795,3790,2,0.47651715039577835,C
auto,自動車,7201,0.001978103646608582,0.01607125809906555,-0.013217362621255632,0.010524332683310196,3790,2,0.4641160949868074,C
auto,自動車,7272,-0.005613099858392746,-0.002081254814079169,-0.04638903742089426,0.05068842545094377,3790,1,0.4757255936675462,C
auto,自動車,7248,,,,,0,0,,C
machinery,機械,6113,0.020142277324689407,0.04680037270368671,0.022032335627122267,-0.010995984811780319,3790,2,0.47018469656992085,B
machinery,機械,6302,0.01938411250264235,0.05060760879014211,-0.0051924003754502115,0.025467193065395972,3790,2,0.4720316622691293,C
machinery,機械,6301,0.01857136683459942,0.012197816979168058,0.02245306598507208,0.021658278896853823,3790,3,0.4846965699208443,C
machinery,機械,6471,0.01677949599829205,0.03392668969181214,-0.0014141654970994436,0.03078268663014163,3790,2,0.48284960422163586,C
machinery,機械,6472,0.016311612920680053,0.03121503793250804,-0.004726013631909754,0.03544654622550936,3790,2,0.4514511873350924,C
machinery,機械,6645,0.013010007180546557,0.07709263072490045,-0.0046994674534294074,-0.02818906883617492,3790,1,0.46912928759894457,C
machinery,機械,7013,0.009881510904010026,0.024290935219558052,-0.03094754895166302,0.05348131764132826,3790,2,0.46226912928759895,C
machinery,機械,7011,0.00791241755510091,0.020664782465354626,0.008786880155728524,0.001211423479691934,3790,3,0.47387862796833774,C
machinery,機械,6103,0.0064792047736388515,0.04436252027615901,-0.0061394494017711415,-0.019300524816017003,3790,1,0.4656992084432718,C
machinery,機械,6326,0.004895827698595359,0.010502845695038824,-0.012038460048552248,0.0230089622078174,3790,2,0.4889182058047493,C
machinery,機械,6770,0.00031495923828199403,-0.001343195272599644,-0.005849181598363614,0.013953018409257587,3790,1,0.48126649076517153,C
machinery,機械,6201,-0.0019452029507648141,0.06803527112600898,-0.039816384611456944,-0.01037587593545878,3790,1,0.47071240105540896,C
machinery,機械,6506,-0.002269181429650541,0.017657268368655183,-0.021452253355576975,0.007275258852891761,3790,2,0.47335092348284963,C
machinery,機械,6361,-0.0025634345831427796,0.031040910396358916,-0.04595892443691944,0.015458165750031224,3790,2,0.4704485488126649,C
machinery,機械,6273,-0.009602015064878238,0.014977108531171023,-0.03006043456171081,-0.0026119112450831783,3790,1,0.4905013192612137,C
machinery,機械,6367,-0.013642424693672599,0.015822156222161918,-0.03846338927655892,-0.014201205214815946,3790,1,0.4746701846965699,C
transport,運輸物流,9308,0.0017140291690576114,-0.007054248447946074,-0.03150941276361986,0.05391497114607616,3790,1,0.4577836411609499,C
