,MOM
2010-04-07,0.00460512541749504
2010-04-08,0.00628410932066498
2010-04-09,0.00197076867650906
2010-04-12,0.0033076591671006394
2010-04-13,-0.00442738317078384
2010-04-14,-0.003992703771898681
2010-04-15,0.0015621538398504155
2010-04-16,-0.0028178928587059004
2010-04-19,0.0031095798341415374
2010-04-20,-0.00636933982731532
2010-04-21,-0.004008323541919739
2010-04-22,0.006230425493390103
2010-04-23,-0.00020931310775748027
2010-04-26,0.0027253020501971795
2010-04-27,0.00444689879784342
2010-04-28,0.00642073650377664
2010-04-30,0.00204383271056488
2010-05-06,-0.01331652485974728
2010-05-07,-0.0036760097539357767
2010-05-10,-0.00609147703778598
2010-05-11,-0.01070024978532808
2010-05-12,-0.007822585581888277
2010-05-13,0.0004271848980508205
2010-05-14,-0.00167685289462548
2010-05-17,-0.00101572995710956
2010-05-18,-0.004648838923988781
2010-05-19,0.00542092729822438
2010-05-20,-0.00633388270186714
2010-05-21,0.006230918547406477
2010-05-24,-0.008128700501789939
2010-05-25,-0.0036696384440789986
2010-05-26,0.00477532145537852
2010-05-27,-0.005625668272964559
2010-05-28,-0.00084740394853598
2010-06-01,-0.0005136669562283999
2010-06-02,-0.0015353314530885
2010-06-03,0.002339588589806099
2010-06-04,-0.0024685148715701795
2010-06-07,0.00962011482741434
2010-06-08,-0.003792672667192999
2010-06-09,0.0037403205380801795
2010-06-10,0.00108193154105552
2010-06-11,0.0045930600702499165
2010-06-14,0.0002220751433391967
2010-06-15,-0.0010138967682929705
2010-06-16,-0.0045359042812401764
2010-06-17,-0.00260245473345144
2010-06-18,0.006890722301579861
2010-06-21,-0.00719388946760806
2010-06-22,-0.0006079558823451597
2010-06-23,0.00240171095196301
2010-06-24,0.0009170143942639035
2010-06-25,0.008902441408547141
2010-06-28,0.00353541239580916
2010-06-29,0.00791117327837346
2010-06-30,-0.0021329013966425656
2010-07-01,0.00900548469688342
2010-07-02,0.0049598319197912966
2010-07-06,-0.0098511143919653
2010-07-07,-9.680685497403998e-05
2010-07-08,0.002710500623059655
2010-07-09,0.0046407825393662205
2010-07-12,-0.004894143432769982
2010-07-13,0.00798156458404016
2010-07-14,-0.001798232704542624
2010-07-15,0.011849627216207899
2010-07-16,0.008471807607834355
2010-07-21,0.012472234186204622
2010-07-22,0.00010211079739315984
2010-07-23,-0.00633066013478316
2010-07-26,-0.0009133198010201999
2010-07-27,-0.0012958582217592355
2010-07-28,-0.00809841993237654
2010-07-29,0.00252724310061494
2010-07-30,-0.0009606298830993399
2010-08-02,-0.00437950445667096
2010-08-03,0.0050055847246064196
2010-08-04,0.004420075130156541
2010-08-05,-0.00418947651675616
2010-08-06,-0.0128087880429735
2010-08-09,0.0009801740612152001
2010-08-10,0.0035912780458403604
2010-08-11,0.00438179885818398
2010-08-12,0.0013346812911436798
2010-08-13,-0.0018628731433074008
2010-08-16,0.0032811340428219133
2010-08-17,-0.0013562712932872793
2010-08-18,-0.005002671218614179
2010-08-19,-0.001992522751027663
2010-08-20,0.001080470474975996
2010-08-23,0.0022922648836571006
2010-08-24,0.0037315557042229
2010-08-25,0.00039614267623666035
2010-08-26,0.003845457182678216
2010-08-27,0.000422435124770559
2010-08-30,0.0020158675556679203
2010-08-31,0.0092468835587648
2010-09-01,-0.00354765443884472
2010-09-02,0.0026579161074346165
2010-09-03,-0.00287450714858578
2010-09-07,-0.00378924894434702
2010-09-08,-0.0006577358287361203
2010-09-09,-0.0020192109954042
2010-09-10,-0.00232602886318308
2010-09-13,-0.0024333749070982757
2010-09-14,-0.00583916699271016
2010-09-16,0.00282149327449884
2010-09-17,-0.001231413958767465
2010-09-21,0.0056452939023383195
2010-09-22,-0.003334019613308379
2010-09-24,0.0049442400829878596
2010-09-27,0.0037592459606658004
2010-09-28,0.004696402632045167
2010-09-29,0.005820707692615801
2010-09-30,-0.0034043095473041372
2010-10-01,-0.00204017626718578
2010-10-04,0.01025878318733688
2010-10-05,-0.0045797746484888754
2010-10-06,0.0002064553190943598
2010-10-07,0.0016220451076243948
2010-10-08,0.0022652006656693597
2010-10-12,0.00664753425849756
2010-10-13,-0.0033679964389339598
2010-10-14,0.0009675828059220607
2010-10-15,0.003442645903779614
2010-10-18,-0.0057769946228745745
2010-10-19,-0.00269240879566304
2010-10-20,0.0008974870637782286
2010-10-21,-0.00424273555642158
2010-10-22,0.00045044929409278
2010-10-25,0.0028676493827373903
2010-10-26,0.00344996251924744
2010-10-27,-0.0005464653198795797
2010-10-28,-0.0021712409655486728
2010-10-29,-0.010243641990806678
2010-11-01,0.00514213767484718
2010-11-02,0.00228593320044708
2010-11-04,0.004351374712930526
2010-11-05,-0.0018201008537286137
2010-11-08,0.00648945538487718
2010-11-09,-0.0006881933095628039
2010-11-10,-0.0077376542090732
