週開始日,現状_週間R,現状_勝日数,現状_取引日数,H+_週間R,平均シグナル強度,米国業種間ボラ,週番号,週末日,現状_累積資産(万円),H+_累積資産(万円),現状_勝率
2025-12-01,0.014192013105370771,4,5,0.020709330091788214,0.3041748,0.006488807025233539,1,2025-12-05,101.41920131053708,102.07093300917882,80.0%
2025-12-08,0.021379817499077136,4,5,0.0293991928653492,0.1579936,0.006488560813226479,2,2025-12-12,103.58752532545853,105.0717360546618,80.0%
2025-12-15,-0.00619546621866951,2,5,-0.012219172294380076,0.3402266,0.009429457047985859,3,2025-12-19,102.94575231162908,103.78784640854026,40.0%
2025-12-22,0.004770092752145905,1,4,-0.005089779838349129,0.22934175,0.0050410301306993005,4,2025-12-26,103.43681309859498,103.2595891204244,25.0%
2025-12-29,0.007226785191999818,2,2,0.002166730600860145,0.015555,0.0041879810685810995,5,2026-01-02,104.18432872780356,103.48332483200386,100.0%
2026-01-05,0.012806000624383085,3,5,0.014170663236359626,0.49715040000000005,0.01036254888511428,6,2026-01-09,105.51851330654274,104.94975217877699,60.0%
2026-01-12,-0.0032020149119555974,2,4,5.542031677707726e-05,0.12713875,0.008485388014553799,7,2026-01-16,105.1806414534478,104.9555685272884,50.0%
2026-01-19,-0.02662096871890518,1,4,-0.042152685937556944,0.24634925,0.00816783112769785,8,2026-01-23,102.38063088748119,100.53140940975987,25.0%
2026-01-26,-0.04195910642231038,1,5,-0.061630705329357105,0.23518,0.0076761941564770396,9,2026-01-30,98.08483110049008,94.33558774008202,20.0%
2026-02-02,-0.03972995359188036,1,5,-0.126886801431085,0.41068540000000003,0.012690149427434062,10,2026-02-06,94.18792531280019,82.36564675062154,20.0%
2026-02-09,0.046772336672053605,3,4,0.13984648414563305,0.2980775,0.010549785021505824,11,2026-02-13,98.59331466597273,93.88419286307713,75.0%
2026-02-16,0.016708521901510398,3,4,0.018679260086830185,0.257672,0.0083875023006119,12,2026-02-20,100.24066322341163,95.63788011960868,75.0%
2026-02-23,-0.005615411686873628,2,4,-0.000591709686543207,0.19119575,0.006938646421220625,13,2026-02-27,99.67777063164692,95.58129025954146,50.0%
2026-03-02,-0.009121862633440836,2,5,0.023120422030118437,0.2938692,0.00965306584302992,14,2026-03-06,98.76852370033741,97.7911700285253,40.0%
2026-03-09,0.01678798865473552,3,5,-0.005403911899757308,0.2271702,0.008041386366002299,15,2026-03-13,100.42664855566366,97.26271516111696,60.0%
2026-03-16,0.03183969826305999,4,4,0.02165429382982831,0.212812,0.00559828791804895,16,2026-03-20,103.62420274324636,99.36887057390268,100.0%
