date,oc_return_food,oc_return_energy,oc_return_construction,oc_return_materials,oc_return_pharma,oc_return_auto,oc_return_steel,oc_return_machinery,oc_return_electronics,oc_return_it_services,oc_return_utilities,oc_return_transport,oc_return_trading,oc_return_retail,oc_return_banks,oc_return_finance,oc_return_realestate
2026-03-02,-0.0012820000000000054,-0.038536000000000015,0.018955999999999973,0.021738999999999953,-0.027003,0.04906100000000002,0.05278999999999989,0.024936999999999987,0.0010989999999999611,-0.005597999999999992,-0.01108600000000004,0.007382999999999917,-0.005171999999999954,-0.0068510000000000515,-0.006870000000000043,-0.02366900000000005,0.01671099999999992
2026-03-03,-0.021209420253999967,-0.08075580716800002,-0.01590044684800007,-0.012455539113000125,-0.036461503836999976,-0.010759605403000028,-0.012880934620000173,0.0023053661029999173,-0.03612186082000002,-0.05597937732999991,-0.019878434374000054,0.0006375634319999435,-0.017253191231999976,-0.03471578149300003,-0.01900008982000001,-0.04170085723899997,-0.006922447195000014
2026-03-04,-0.03317219871965549,-0.10758762591257331,-0.0317857818349796,-0.028635467560172656,-0.04337585608546568,-0.023479258396728264,-0.03618681575362204,-0.057981297057363324,-0.05828816638672252,-0.050984564215453054,-0.03232891862214715,-0.0009724624075621024,-0.04119683448082356,-0.03857498779859092,-0.05495471752800718,-0.05846150924588989,-0.007086304991212766
2026-03-05,-0.05559293543134669,-0.09448165778672535,-0.052667257878144635,-0.04427637926151873,-0.06161389538919626,-0.09490198543759154,-0.07088312657330742,-0.04885972995676968,-0.08593870924527558,-0.06825284908498863,-0.060452343260231634,-0.008044578346178888,-0.054878955652782224,-0.05350591823807882,-0.06385893417945832,-0.06716320797743935,-0.04724469938584308
2026-03-06,-0.054746746701493154,-0.10996239936520347,-0.045481739029150425,-0.031206858747919952,-0.053638551886109,-0.0862700656727099,-0.06583709283372707,-0.04969292883332754,-0.06231296706313827,-0.05457945964531086,-0.05895846248601544,-0.009647578307571458,-0.054533986471595575,-0.040272037986883724,-0.04112849296026977,-0.05594304704299202,-0.033061983980900767
2026-03-09,-0.03380371562141138,-0.11141316065423823,-0.03168417756681674,-0.015291525023430674,-0.01476391632048668,-0.0788396138467603,-0.06998851279317397,-0.0969973142218622,-0.06155906668865696,-0.04576719478866487,-0.05132096936755193,0.03068650477069612,-0.07476128636502233,-0.013207709458113892,-0.013604086350694322,-0.03721390115327805,-0.0176306201832519
2026-03-10,-0.04009075484386293,-0.0973512739215916,-0.029866648768109738,-0.017276697308983402,-0.022704919154943548,-0.08361490928857862,-0.07722028211769427,-0.10541239625062859,-0.06574826701495884,-0.0504763336823828,-0.06260076304177165,0.016564038282327997,-0.06691433683468417,-0.02930821247059534,-0.01579487167490945,-0.044429020178035405,-0.03224532944678571
2026-03-11,-0.037924239677545546,-0.07981010122770982,-0.03126461092723487,-0.01699760389101923,-0.01937722940466602,-0.07305906942867368,-0.05407050733518082,-0.1069931325464537,-0.06322298458070041,-0.04852601207176643,-0.0550106414201208,0.0217109020081514,-0.07760096693491658,-0.03706986400368051,-0.03158939557427043,-0.05861256023153283,-0.03836057121001146
2026-03-12,-0.05964117581530426,-0.08272250225732414,-0.0409354963163483,-0.017561847266385766,-0.020600065999598405,-0.08314233287142858,-0.06942010521265285,-0.09778891076360996,-0.06322298458070041,-0.05685711831006601,-0.05652829433000006,0.016734148204469834,-0.08472004267211286,-0.03680987286696147,-0.04686704126969077,-0.07964503841083992,-0.06646736843468526
2026-03-13,-0.05597753783628079,-0.06320558893785322,-0.028626862476072268,-0.009613922610770875,-0.027589063928625257,-0.09894987591039228,-0.03212339360947081,-0.11659730534092094,-0.06982164187731399,-0.05316471392825006,-0.032815076479690286,0.017447895576509387,-0.0593146168965627,-0.028219180123062015,-0.03133002090942805,-0.07003561225688759,-0.0690261813778058
2026-03-16,-0.06045881246417195,-0.07883881406965831,-0.02966428898694773,-0.012460292197187584,-0.022987615379135518,-0.10099525969207568,-0.04792010770237065,-0.12660184085793502,-0.07037137728696452,-0.052423341899255904,-0.05903836131109652,0.011735943090742884,-0.0606880175558937,-0.021863733561066856,-0.026501201063661495,-0.07163701093258124,-0.06454074951968414
2026-03-17,-0.055126916224906064,-0.06384046764034057,-0.03825273036512433,-0.02201572640988758,-0.02540962908061062,-0.10175941372133745,-0.08821879330365245,-0.12729793919077126,-0.0810397953612193,-0.056107519945951645,-0.06662345308056772,0.016429386130740964,-0.060014530864481164,-0.0179179318622521,-0.029050794418075787,-0.0861222586510002,-0.06596919579516758
2026-03-18,-0.048989020672703054,-0.03901819763982417,-0.026966626155959017,-0.004941098977277902,-0.026306252221856452,-0.09898385030973633,-0.06668981545113828,-0.11474848355633449,-0.06916866743769556,-0.057078785307927205,-0.02860235944180467,0.02662112358547386,-0.03365639832445211,-0.011665997416487106,-0.01927236496866025,-0.07166562666060039,-0.061592327446663764
2026-03-19,-0.059707865420701056,-0.04548848811511519,-0.041390872889823016,-0.025784597777000928,-0.036018847355943406,-0.11024294811626578,-0.06546997903993301,-0.12095055568053881,-0.06916866743769556,-0.06029414665002719,-0.05585880583822711,0.013558396408972273,-0.04379334270602864,-0.02782525835872751,-0.02213412820768168,-0.0674222102400659,-0.08534342563898867
