date,oc_return_food,oc_return_energy,oc_return_construction,oc_return_materials,oc_return_pharma,oc_return_auto,oc_return_steel,oc_return_machinery,oc_return_electronics,oc_return_it_services,oc_return_utilities,oc_return_transport,oc_return_trading,oc_return_retail,oc_return_banks,oc_return_finance,oc_return_realestate
2026-03-02,-0.12819999999999998,-3.8536,1.89559999999999,2.17389999999999,-2.7003,4.9061,5.27899999999998,2.49369999999999,0.10989999999998999,-0.55979999999999,-1.1086,0.73829999999999,-0.51719999999999,-0.6851,-0.687,-2.3669,1.67109999999999
2026-03-03,-2.12094202539999,-8.0755807168,-1.5900446847999998,-1.24555391130001,-3.64615038369999,-1.0759605403,-1.28809346200001,0.23053661029999,-3.6121860819999996,-5.5979377329999895,-1.9878434374000002,0.06375634319999,-1.72531912319999,-3.4715781493000004,-1.900008982,-4.17008572389999,-0.6922447195
2026-03-04,-3.31721987196554,-10.75876259125733,-3.17857818349796,-2.86354675601726,-4.33758560854656,-2.3479258396728198,-3.6186815753622,-5.79812970573633,-5.82881663867225,-5.0984564215453,-3.2328918622147103,-0.09724624075621,-4.11968344808235,-3.85749877985909,-5.49547175280071,-5.84615092458898,-0.7086304991212701
2026-03-05,-5.55929354313466,-9.44816577867253,-5.26672578781446,-4.42763792615187,-6.16138953891962,-9.49019854375915,-7.08831265733074,-4.88597299567696,-8.59387092452755,-6.82528490849886,-6.04523432602316,-0.8044578346178799,-5.487895565278221,-5.35059182380788,-6.38589341794583,-6.71632079774393,-4.7244699385843
2026-03-06,-5.47467467014931,-10.99623993652034,-4.54817390291504,-3.12068587479199,-5.3638551886109,-8.627006567270989,-6.5837092833727,-4.96929288333275,-6.23129670631382,-5.45794596453108,-5.89584624860154,-0.96475783075714,-5.45339864715955,-4.027203798688371,-4.11284929602697,-5.5943047042992005,-3.3061983980900695
2026-03-09,-3.3803715621411303,-11.14131606542382,-3.16841775668167,-1.5291525023430599,-1.4763916320486599,-7.883961384676031,-6.998851279317391,-9.69973142218622,-6.15590666886569,-4.57671947886648,-5.13209693675519,3.06865047706961,-7.47612863650223,-1.32077094581138,-1.36040863506943,-3.7213901153278,-1.76306201832519
2026-03-10,-4.00907548438629,-9.73512739215916,-2.98666487681097,-1.7276697308983398,-2.27049191549435,-8.36149092885786,-7.722028211769421,-10.54123962506285,-6.57482670149588,-5.04763336823828,-6.2600763041771605,1.65640382823279,-6.691433683468411,-2.93082124705953,-1.57948716749094,-4.44290201780354,-3.22453294467857
2026-03-11,-3.7924239677545497,-7.98101012277098,-3.12646109272348,-1.69976038910192,-1.9377229404666,-7.30590694286736,-5.40705073351808,-10.699313254645372,-6.32229845807004,-4.85260120717664,-5.50106414201208,2.17109020081514,-7.76009669349165,-3.70698640036805,-3.1589395574270402,-5.86125602315328,-3.83605712100114
2026-03-12,-5.964117581530419,-8.27225022573241,-4.093549631634829,-1.75618472663857,-2.06000659995984,-8.31423328714285,-6.94201052126528,-9.77889107636099,-6.32229845807004,-5.6857118310066,-5.652829433,1.6734148204469799,-8.47200426721128,-3.6809872866961397,-4.68670412696907,-7.964503841083991,-6.646736843468521
2026-03-13,-5.59775378362807,-6.3205588937853205,-2.8626862476072197,-0.9613922610770801,-2.75890639286252,-9.89498759103922,-3.21233936094708,-11.65973053409209,-6.9821641877313905,-5.316471392825,-3.28150764796902,1.74478955765093,-5.93146168965627,-2.8219180123062,-3.1330020909428,-7.00356122568875,-6.90261813778058
2026-03-16,-6.04588124641719,-7.88388140696583,-2.96642889869477,-1.24602921971875,-2.29876153791355,-10.09952596920756,-4.79201077023706,-12.6601840857935,-7.03713772869645,-5.2423341899255895,-5.90383613110965,1.17359430907428,-6.06880175558937,-2.18637335610668,-2.65012010636614,-7.163701093258119,-6.454074951968409
2026-03-17,-5.5126916224906,-6.38404676403405,-3.8252730365124297,-2.2015726409887497,-2.54096290806106,-10.17594137213374,-8.82187933036524,-12.729793919077121,-8.10397953612193,-5.6107519945951605,-6.6623453080567705,1.6429386130740902,-6.00145308644811,-1.79179318622521,-2.90507944180757,-8.61222586510002,-6.59691957951675
2026-03-18,-4.8989020672703,-3.90181976398241,-2.6966626155959,-0.49410989772778996,-2.63062522218564,-9.89838503097363,-6.6689815451138195,-11.474848355633439,-6.91686674376955,-5.70787853079272,-2.86023594418046,2.6621123585473803,-3.36563983244521,-1.16659974164871,-1.92723649686602,-7.166562666060031,-6.15923274466637
2026-03-19,-5.9707865420701,-4.54884881151151,-4.1390872889823,-2.57845977770009,-3.6018847355943397,-11.02429481162657,-6.5469979039933,-12.09505556805388,-6.91686674376955,-6.02941466500271,-5.585880583822711,1.35583964089722,-4.37933427060286,-2.7825258358727503,-2.21341282076816,-6.742221024006589,-8.53434256389886
